Date,Open,High,Low,Close,MA20,MA50,RSI14,TR,ATR14,decision,rule,reason
2025-02-05,2841.955,2882.275,2839.885,2866.67,2746.55775,2682.8098999999997,76.4568983269026,42.38999999999987,33.52625402580983,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-06,2866.63,2873.225,2834.395,2856.035,2755.8414999999995,2687.2661,73.20649244489884,38.82999999999993,33.905093023966266,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-07,2856.585,2886.825,2852.805,2860.655,2764.3432500000004,2691.7603000000004,73.72899305678062,34.01999999999998,33.913300665111535,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-10,2858.98,2911.255,2855.025,2908.045,2776.5932500000004,2697.1694999999995,78.38524936369062,56.23000000000002,35.50735061760357,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-11,2908.04,2942.66,2882.06,2897.58,2787.6042500000003,2702.112,75.21494114546661,60.59999999999991,37.29968271634617,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-12,2897.61,2909.06,2864.78,2903.91,2797.9735,2707.409,75.85116862347661,44.279999999999745,37.798276808035716,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-13,2904.395,2929.53,2900.81,2928.14,2808.64625,2713.0984999999996,78.16200702881784,28.720000000000255,37.14982846460461,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-14,2927.945,2940.06,2877.16,2885.16,2817.861,2717.7998,66.0823026572846,62.90000000000009,38.98912643141857,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-17,2884.98,2906.365,2878.915,2899.265,2827.503,2723.1454000000003,67.83894080342702,27.449999999999818,38.16490311488866,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-18,2898.87,2936.95,2892.18,2935.29,2837.027,2729.2114999999994,71.84911779395645,44.76999999999998,38.63669574953946,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-19,2935.52,2946.91,2918.95,2932.94,2845.85875,2734.6623999999997,71.22521700529975,27.960000000000036,37.874074624572366,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-20,2933.46,2954.88,2924.63,2939.675,2855.09825,2739.577,71.97627652419756,30.25,37.32949786567434,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-21,2938.78,2949.79,2917.07,2934.92,2863.2889999999998,2743.9127999999996,70.57567389917173,32.7199999999998,37.000248018126165,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-24,2934.13,2956.18,2921.55,2952.76,2873.8805,2749.3507,72.72049492718959,34.629999999999654,36.83094458825999,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-25,2952.545,2953.585,2889.525,2914.995,2881.4357499999996,2754.6962,62.3581697620819,64.05999999999995,38.77587711766999,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-26,2914.99,2930.16,2891.14,2916.38,2889.27375,2759.9692999999997,62.56882816215428,39.01999999999998,38.79331446640785,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-27,2916.85,2920.85,2868.1,2877.07,2893.4175,2764.5781,53.429269226349035,52.75,39.79022057595015,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2025-02-28,2877.065,2885.095,2832.885,2854.945,2896.10075,2769.9702,49.083490820520424,52.20999999999958,40.677347677667974,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2025-03-03,2855.6,2895.305,2855.6,2892.82,2899.99175,2775.9408999999996,55.722795276779856,40.35999999999967,40.65467998640595,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2025-03-04,2892.57,2927.84,2882.08,2917.99,2903.7622499999998,2781.8389,59.50209852200348,45.76000000000022,41.01934570166269,WAIT,B0,Uptrend above MA20; wait for pullback
2025-03-05,2917.855,2929.88,2894.65,2919.17,2906.38725,2787.9633999999996,59.67587061005513,35.23000000000002,40.60582100868678,WAIT,B0,Uptrend above MA20; wait for pullback
2025-03-06,2919.51,2926.55,2891.52,2911.14,2909.1425000000004,2793.8626,57.856513385621554,35.0300000000002,40.207548079494885,WAIT,B0,Uptrend above MA20; wait for pullback
2025-03-07,2911.37,2930.25,2897.39,2909.36,2911.57775,2799.3739,57.43847968697999,32.86000000000013,39.68272321667383,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2025-03-10,2911.96,2918.3,2880.33,2884.98,2910.4245,2804.7624,51.90651627726739,37.970000000000255,39.56038584405429,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2025-03-11,2884.86,2922.12,2880.97,2917.51,2911.421,2810.9932999999996,57.75314826781791,41.15000000000009,39.67392971233613,WAIT,B0,Uptrend above MA20; wait for pullback
2025-03-12,2917.65,2940.44,2906.35,2938.16,2913.1335,2817.2648,60.99477486201024,34.090000000000146,39.27507759002642,WAIT,B0,Uptrend above MA20; wait for pullback
